Region,Country Code,Country Name,Agricultural land (% of land area),Agricultural land (sq. km),Armed forces personnel (% of total labor force),"Armed forces personnel, total",Average precipitation in depth (mm per year),"Birth rate, crude (per 1,000 people)","Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Current health expenditure per capita, PPP (current international $)",Forest area (% of land area),Forest area (sq. km),GDP (current US$),GDP per capita (current US$),"GDP per capita, PPP (current international $)","International tourism, receipts (% of total exports)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Mobile cellular subscriptions (per 100 people),Number of deaths ages 20-24 years,Population in largest city,Population in the largest city (% of urban population),"Population, total"
Latin America & Caribbean,HND,Honduras,31,"34,900",1,"23,000","1,976",22,,7,168,382,57,"64,221","23,136,232,230","2,403","5,448",8,73,,86,"1,256","1,318,213",24,"9,626,842"
Latin America & Caribbean,HTI,Haiti,67,"18,400",0,0,"1,440",25,,4,54,122,13,"3,566","15,035,560,373","1,384","3,188",28,64,,58,"2,465","2,568,981",44,"10,863,543"
Latin America & Caribbean,JAM,Jamaica,41,"4,440",0,"4,000","2,051",13,97,6,324,614,54,"5,852","14,808,989,993","5,273","9,985",,72,,110,311,"588,487",38,"2,808,376"
Latin America & Caribbean,KNA,St. Kitts and Nevis,23,60,,,"1,427",13,,5,"1,168","1,546",42,110,"1,058,937,037","22,160","29,333",70,72,,161,8,,,"47,785"
Latin America & Caribbean,LCA,St. Lucia,16,99,,,"2,301",12,,5,526,711,34,208,"1,996,710,563","11,270","15,247",84,73,,100,17,,,"177,163"
Latin America & Caribbean,MEX,Mexico,50,"969,460",1,"336,000",758,17,98,5,515,"1,093",34,"660,754","1,158,913,035,796","9,434","20,032",5,74,95,93,"13,762","21,500,251",22,"122,839,258"
Latin America & Caribbean,NIC,Nicaragua,42,"50,650",0,"12,000","2,280",22,,8,177,493,31,"37,075","13,785,909,906","2,127","5,915",,74,,126,792,"1,040,748",28,"6,480,532"
Latin America & Caribbean,PAN,Panama,30,"22,030",1,"26,000","2,928",19,,7,"1,128","2,267",57,"42,481","62,202,700,000","15,186","30,526",25,78,,129,407,"1,745,913",63,"4,096,063"
Latin America & Caribbean,PER,Peru,19,"245,181",1,"158,000","1,738",18,82,5,333,621,57,"728,348","211,007,207,484","6,676","12,443",9,76,94,123,"2,302","10,194,477",42,"31,605,486"
Latin America & Caribbean,PRY,Paraguay,42,"167,231",1,"27,000","1,130",22,,7,406,899,43,"169,403","38,997,129,474","6,136","13,604",3,74,,118,830,"3,134,940",80,"6,355,404"
Latin America & Caribbean,SLV,El Salvador,58,"12,052",2,"42,000","1,784",17,92,8,336,726,29,"5,974","24,979,190,000","3,986","8,618",17,72,88,151,"1,307","1,104,147",25,"6,266,654"
Latin America & Caribbean,SUR,Suriname,1,840,1,"2,000","2,331",19,,5,325,945,98,"152,330","3,591,660,724","6,113","17,753",3,72,,135,61,,,"587,559"
Latin America & Caribbean,TTO,Trinidad and Tobago,11,540,1,"4,000","2,200",13,,7,"1,059","1,725",45,"2,295","23,797,686,966","16,095","26,214",7,74,,137,174,"544,631",69,"1,478,607"
Latin America & Caribbean,URY,Uruguay,81,"142,229",1,"22,000","1,300",13,97,9,"1,656","2,038",11,"19,680","64,233,966,861","18,770","23,107",17,78,99,149,275,"1,727,095",53,"3,422,200"
Latin America & Caribbean,VCT,St. Vincent and the Grenadines,18,70,,,"1,583",14,,4,337,572,73,285,"847,620,222","8,031","13,633",73,74,,110,13,,,"105,549"
Latin America & Caribbean,VEN,"Venezuela, RB",24,"215,000",3,"343,000","2,044",19,,5,367,549,53,"464,282",,,,,72,,80,"8,681","2,929,709",11,"30,563,433"
West Asia & North Africa,ARE,United Arab Emirates,5,"3,838",1,"63,000",78,11,,4,"1,726","2,853",4,"3,173","390,516,804,017","43,064","71,182",,80,,219,512,"2,650,883",34,"9,068,296"
West Asia & North Africa,BHR,Bahrain,11,86,2,"19,000",83,15,,5,"1,099","2,208",1,6,"35,473,776,596","24,350","48,929",16,80,,162,57,"519,958",40,"1,456,834"
West Asia & North Africa,DJI,Djibouti,73,"17,020",6,"13,000",220,23,,2,66,110,0,56,"2,762,581,334","2,656","4,452",1,63,,36,323,"551,358",68,"1,040,233"
West Asia & North Africa,DZA,Algeria,17,"413,351",3,"317,000",89,25,,6,260,742,1,"19,430","170,097,014,589","4,135","11,809",0,76,,111,"2,249","2,659,373",9,"41,136,546"
West Asia & North Africa,EGY,"Egypt, Arab Rep.",4,"38,370",3,"836,000",18,25,,6,108,588,0,450,"235,733,695,652","2,316","10,436",20,71,71,101,"6,581","19,648,312",45,"101,789,386"
West Asia & North Africa,IRN,"Iran, Islamic Rep.",29,"464,350",2,"563,000",228,19,96,8,462,"1,176",7,"107,106","486,630,146,444","5,759","15,163",,76,,103,"6,871","8,780,950",14,"84,505,076"
