Region,Country Code,Country Name,Agricultural land (% of land area),Agricultural land (sq. km),Armed forces personnel (% of total labor force),"Armed forces personnel, total",Average precipitation in depth (mm per year),"Birth rate, crude (per 1,000 people)","Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Current health expenditure per capita (current US$),"Current health expenditure per capita, PPP (current international $)",Forest area (% of land area),Forest area (sq. km),GDP (current US$),GDP per capita (current US$),"GDP per capita, PPP (current international $)","International tourism, receipts (% of total exports)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Mobile cellular subscriptions (per 100 people),Number of deaths ages 20-24 years,Population in largest city,Population in the largest city (% of urban population),"Population, total"
Sub-Saharan Africa,SOM,Somalia,70,"441,250",1,"20,000",282,45,,,,,10,"62,103","5,609,000,000",377,"1,059",,56,,48,"6,878","1,976,828",30,"14,864,221"
Sub-Saharan Africa,SSD,South Sudan,45,"283,215",5,"185,000",900,33,,8,27,86,11,"71,570",,,,1,55,,26,"3,679","352,229",17,"10,658,226"
Sub-Saharan Africa,STP,Sao Tome and Principe,46,440,,,"3,200",30,,6,116,252,56,538,"375,614,126","1,806","3,935",72,68,,84,45,,,"208,036"
Sub-Saharan Africa,SWZ,Eswatini,71,"12,220",,,788,26,,7,267,573,29,"4,939","4,402,969,226","3,824","8,214",1,58,,89,359,,,"1,151,390"
Sub-Saharan Africa,SYC,Seychelles,3,16,,0,"2,330",17,,5,737,"1,262",73,337,"1,573,433,081","16,417","28,117",31,74,,164,6,,,"95,843"
Sub-Saharan Africa,TCD,Chad,40,"502,380",1,"35,000",322,45,,5,30,73,4,"46,510","10,000,395,242",663,"1,580",,52,,42,"5,270","1,275,726",37,"15,085,884"
Sub-Saharan Africa,TGO,Togo,70,"38,200",0,"10,000","1,168",34,,6,52,126,22,"12,182","6,395,472,574",814,"1,973",15,60,,77,"1,479","1,708,106",53,"7,852,795"
Sub-Saharan Africa,TZA,Tanzania,44,"388,851",0,"28,000","1,071",38,,4,39,97,53,"471,520","53,320,647,489",976,"2,458",27,66,,71,"9,581","5,719,486",31,"56,267,032"
Sub-Saharan Africa,UGA,Uganda,72,"144,150",0,"46,000","1,180",38,,4,31,89,12,"24,617","30,744,473,912",766,"2,128",19,62,,62,"11,722","2,843,137",31,"40,127,085"
Sub-Saharan Africa,ZAF,South Africa,79,"963,410",0,"80,000",495,21,95,8,537,"1,113",14,"171,593","381,448,814,653","6,734","13,950",9,65,87,156,"14,661","5,313,563",14,"56,641,209"
Sub-Saharan Africa,ZMB,Zambia,32,"238,360",0,"16,000","1,020",37,,4,66,149,61,"453,787","25,873,601,261","1,496","3,395",,62,,78,"4,386","2,406,227",32,"17,298,054"
Sub-Saharan Africa,ZWE,Zimbabwe,42,"162,000",1,"51,000",657,33,,6,92,226,45,"175,828","17,584,890,937","1,192","2,332",3,61,,96,"4,159","1,509,901",32,"14,751,101"
